,author,like_count,text,timestamp
0,@MegaManMayCry,0,FMABH was great thanks to Adult Swim and also thanks for Toonami bringing us anime,
1,@ValerieHeart,0,1 month later and Frieren still on top and almost done with season 1. LET&#39;S GOOOO.,
2,@hideki411,0,I think Frieren getting top spot is hype but it&#39;s worth it,
3,@edge4161,0,"Idk why garnt saying bleach doesnt deserve number 6 reminds me of his trash in list where bocchi is above it, and Oshi no ko, I admit those anime are good but compared to “BLEACH” tybw man tripping don’t mind me I love garnt he’s my fav anituber but sometimes his oppinions trigger my blood pressure",
4,@vivianthai1276,0,I&#39;m just surprised not to see Trigun.,
5,@___________6181,1,"Connor, gets mad that they use Japanese names for a bunch of the anime. Also Connor, never refers to the future diary by its English name.",
6,@shashwatmishraalumni4918,0,Akame ga kill is above mobPls kill me mommy esdeath😂,
7,@jnextshake107,0,"After rewatch Bleach, there is so much subtle foreshadowing that I completely missed the 1st time",
8,@nightland1798,0,1:33:42 new meme template,1:33
9,@KawaiiGonJhin,0,"You guys were baffled by the popularity of Nogami, but totally forgot it was because both of the openings were absolute bangers. Surprised this was not mentioned.",
10,@FellaGuy2,0,My favorite is Samurai Champloo and I feel like people have forgotten about it.,
11,@gander2,0,I would totally recommend Mob to people who&#39;ve never watched anime.,
12,@WaboDekoker,0,FMA the most overrated shit ever,
13,@radialmachinery9947,0,"So the thing with Steins;Gate is that it was originally a visual novel and the slow pace just fitted and that&#39;s why it didn&#39;t translate perfectly to anime. Most of you probably have gone years without knowing but Steins;Gate isn&#39;t really it&#39;s own franchise/series it&#39;s a part of a huge one called the Science Adventure series, the reason most people don&#39;t know about it is probably because the visual novel to anime adaptation really sucked for many reasons including vn&#39;s and animes operating so differently that it is hard to adapt. Anyways I do recommend you guys that loved Steins;Gate play those visual novels because you might love them as much or more.",
14,@theallinaudioexperience8918,0,03 FMA has a much better opening to the series than FMAB,
15,@nolandderlugner1351,2,Not having frieren in top 50 shows that they think like teenies,
