,author,like_count,text,timestamp
0,@stenioal,1,What a superb game!,
1,@johndoe413,0,"“The game is glitchy, but also charming and really fun”Did Todd Howard work on this game?😂",
2,@DrunkenMastermind-wc4vc,0,Game is 50% off right now… should I cop?,
3,@diamondplayz2145,0,I spent $300 in Steam cards. I hope it’s worth it. I’m a HUGE Harry Potter super fan.,
4,@meladgoat,1,this really needs a new game plus,
5,@rikoperiko5235,1,"Just bought the game... Watched this &quot;before I bought it&quot; though, lol!! Thanks again bro!! 💪🏽💯",
6,@rikoperiko5235,0,I love it!! Keep up the great reviews!!,
7,@MrKUWALA,1,I&#39;ve never watched or read Harry Potter but this game was fire,
8,@anirudhsharma3730,1,"I have played the old &quot;Harry Potter and the Goblet of Fire&quot; game and i quiet enjoyed it (at that time)But i really wanted to play a good &quot;Harry Potter&quot; game and gave up after some time.I went in with no expectations and play &quot;Hogwarts Legacy&quot; and when i tell you that i loved it, i mean it. I don&#39;t even like rpg games but this one just made me so happy and i&#39;m glad i purchased it.",
9,@WendyCrofts,0,"Really like the game, the first open world game in years where I don&#39;t get bored in a few hours. The world is amazing, graphics are great and runs decent on PC. If you liked the movies or the books this is a now brainer! Did not expect Avalanche to pull it off.",
10,@SAsavior93,1,Thank you again i always go to you guys to see if a games worth it for years now love yalls work so cheers 🍻 to yall keep up the good work and thank you for the late nights,
11,@MichaelSunny,1,I would have been happy with a complete school simulator where you attend classes and do magic homework,
12,@Urlastnerve,0,I honestly forgot I bought this game months ago. It was pretty fun for what I did play but I’m going to have to restart because I don’t remember what was really going on or how combat worked.,
13,@JuneEclipse,0,Idk why but it reminded me of Bully 🐦,
14,@basically_chris,0,"Out of all 8 (11 ok ...) movies, this game has the best, most cinematic and satisfying wizarding combat ever.",
15,@kerryjones1904,0,What&#39;s the story / plot line like then if entirely separate from the movies,
16,@Soap308,0,Just how is this game bigger than any of the games mentioned lmao?,
17,@angrywalrus3761,0,Ive got a switch. I’m curious if it’s worth getting on there or not,
18,@rafaelelmachs,1,"dont watch, just buy. Believe me",
19,@matthewcs490,0,I’m still here and still love HL!!!,
20,@spiceytorta,1,The is Harry Potter x Asassins Creed,
21,@Purplexity,0,What’s the 10 month later verdict?,
22,@Astrodgirl,0,ive never read harry potter or watched the movies but was curious about this cuz it looked like it had good open world gameplay. it actually kinda reminds me a bit of skyrim and dragon dogma and some other stuff which is cool,
